X,Z
-107.0450363548994,-327.322243628285
-106.88813418607484,-328.2042633432595
-106.92160525753954,-329.1553479703848
-106.71749628304177,-330.0470362985144
-106.69208601909496,-330.978459492313
-106.53590095799201,-331.89976899211996
-106.38510354104318,-332.7832265710441
-106.19398319894356,-333.6828378749938
-105.72729304522484,-334.47434065775053
-105.50202964678489,-335.3604433290604
-105.18394261940787,-336.228758925547
-105.12630892614551,-337.16162529139365
-104.94386066902095,-338.08471128144384
-104.90021196532945,-339.00023145152875
-104.97506291447756,-339.91068438146016
-104.93099220867062,-340.82398617372854
-104.6806234520136,-341.7092884092963
-104.33790521653418,-342.57023497651204
-103.98183430669508,-343.43502357080985
-103.90451730750193,-344.3276450368122
-103.65176892141103,-345.21502838729583
-103.53516801851161,-346.099587659135
-103.26956179918908,-346.9660662882355
-103.09007223254252,-347.860149509671
-102.95056245345046,-348.7333916812808
-102.07589706680916,-349.2173898847325
-102.06835927943969,-350.07044006126586
-101.64822010581089,-350.8916733560209
-101.37974371350558,-351.74711178280927
-101.11173959045496,-352.6096417233532
-100.67522829165533,-353.42662807815725
-100.53911158821731,-354.30921953474814
-100.41989162773078,-355.2162791898706
-100.10221988913514,-356.0623123206415
-99.72397679805754,-356.90609149738793
-99.65683915777984,-357.8012239762032
-99.24721985450479,-358.63884729933807
-98.88991472643225,-359.48536736094366
-98.47862179363558,-360.30573983857806
-98.23335352816397,-361.1799791993232
-97.96960006613254,-362.04398123182796
-97.69912417028613,-362.9076455113637
-96.9773261093851,-363.56732109317073
-96.60204071149299,-364.3755499849005
-95.75239625156627,-364.42606843696444
-94.93463557711085,-364.507010851061
-94.34220094602476,-365.2934200696356
-93.51132111979092,-365.6361201047142
-93.62876932023809,-366.58734474737014
-93.46061825675963,-367.50985824983724
-92.53533422131358,-367.7146927095142
-91.71510828759857,-368.1160814376051
-90.74579649074315,-368.3017556068511
-89.89138116970484,-368.6835672423909
-89.1273724858056,-369.21514691637293
-88.77133758285596,-370.0628943516548
-87.7805529125831,-370.15778395547375
-87.28552086729005,-370.9166517754473
-86.74807169635325,-371.6772401561939
-86.04244775929389,-372.31303107382195
-85.45668404045385,-373.0881286690823
-84.59696114884636,-373.44881693999565
